scenario_model,scenario_depth,respondent_id,timestamp,weight_accuracy,weight_contiguity,weight_residual,weight_replicon,combo,rank,overall_score,is_eligible,is_near_tie,is_winner,scoring_version,source_data_hash,survey_data_hash,source_data_commit
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,seqkit-barbell,7,85.95023288419914,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,chopper-porechop_abi,8,85.89914545992501,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,chopper-barbell,9,82.99080846279813,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,unprocessed-barbell,10,81.89281786197361,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,filtlong-porechop_abi,11,80.1922188183007,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,unprocessed-untrimmed,12,79.8259904873934,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,filtlong-dorado,13,77.21499271736461,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,seqkit-untrimmed,14,76.49818644322146,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,filtlong-untrimmed,15,76.34360731083956,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,chopper-untrimmed,16,70.30223848560018,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,filtlong-barbell,17,70.24083632514,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,seqkit-dorado,1,96.15793985726357,True,False,True,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,chopper-dorado,2,94.34198838997665,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,unprocessed-porechop_abi,3,93.75132536276811,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,unprocessed-dorado,4,92.34955466465323,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,seqkit-barbell,5,89.55484826881452,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,chopper-barbell,6,87.3354238474135,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,unprocessed-untrimmed,7,86.02445202585496,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,fastplong-all,8,83.76389700692836,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,seqkit-porechop_abi,9,83.69053352050733,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,chopper-porechop_abi,10,81.65863263941219,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,unprocessed-barbell,11,79.17845888761464,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,3,2026-06-11T04:38:54.544766+00:00,20.0,20.0,25.0,35.0,seqkit-untrimmed,12,75.2692120842471,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
